fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E
245101605001,47,58,27,74,29,21,9,0,37,0,67,0,0,0,0,0
245101605002,24,0,9,0,0,19,0,8,13,33,0,13,21,0,0,0
245101605003,0,121,25,0,0,22,0,0,0,9,43,48,0,0,0,0
245101605004,21,12,33,32,47,27,15,0,10,36,30,13,0,0,0,0
245101605005,25,40,29,30,13,33,0,9,48,10,38,60,0,0,0,0
245101606001,43,0,0,0,0,25,10,7,0,24,2,12,0,0,0,0
245101606002,21,19,0,0,46,0,0,10,6,10,23,36,14,0,0,0
245101606003,45,38,9,31,23,42,0,0,33,21,0,26,0,0,0,0
245101606004,122,85,10,25,11,0,19,0,10,0,11,0,0,0,0,0
245101606005,13,77,9,0,0,8,10,9,0,0,21,30,0,0,0,7
245101607001,0,13,9,25,14,0,13,10,0,0,11,23,0,18,0,0
245101607002,31,11,45,27,0,8,12,50,31,23,44,19,19,0,0,0
245101607003,18,52,40,43,0,0,0,23,0,0,19,36,44,0,0,0
245101607004,183,43,50,0,39,34,0,9,0,0,15,9,13,4,0,0
245101607005,19,0,13,19,0,0,0,50,12,0,0,10,26,0,0,0
245101607006,0,25,31,0,0,0,0,0,23,16,38,23,6,0,0,0
245101607007,49,0,26,0,0,6,36,31,0,12,22,0,10,0,14,0
245101608011,18,30,80,81,17,10,50,14,46,18,50,0,0,0,11,0
245101608012,37,0,0,23,16,11,58,14,17,16,17,15,0,0,14,0
245101608013,25,0,20,9,0,7,37,0,0,0,0,58,11,0,0,0
245101608014,8,64,0,0,10,0,25,0,12,73,25,40,0,0,19,0
245101608021,41,11,65,33,19,25,36,0,54,10,17,0,9,0,0,0
245101608022,51,11,10,3,24,0,15,0,7,27,0,28,48,12,6,11
245101608023,65,0,26,13,60,69,42,0,60,17,47,10,8,14,8,4
245101701001,118,4,11,54,42,24,39,43,7,39,60,56,54,8,0,11
245101701002,86,47,50,15,12,19,0,19,0,29,0,12,2,3,0,0
245101702001,588,93,66,12,51,0,14,23,0,0,0,0,0,0,0,0
245101702002,107,33,45,31,21,8,16,23,44,20,32,0,11,0,0,0
245101702003,83,59,11,9,30,36,0,0,0,0,19,20,0,10,0,0
245101703001,77,32,55,37,11,31,0,20,0,0,54,7,14,0,12,0
245101703002,83,18,63,37,6,5,6,34,8,59,68,0,42,0,0,0
245101801001,100,72,54,50,53,72,0,28,12,0,18,0,5,0,0,0
245101801002,165,74,83,0,17,0,5,0,35,0,0,0,0,0,7,0
245101802001,10,19,20,12,0,0,47,16,0,6,0,0,6,0,0,0
245101802002,151,41,16,48,8,8,0,12,0,0,6,27,0,0,0,0
245101803001,62,6,50,42,0,6,5,0,17,26,46,56,0,7,0,5
245101803002,143,35,34,34,29,5,10,44,15,20,54,71,20,19,0,6
245101901001,26,7,0,12,6,0,0,5,0,21,16,27,0,0,0,0
245101901002,17,9,17,42,39,64,20,20,23,17,55,19,22,0,0,5
245101901003,124,10,49,26,0,16,5,0,14,25,0,0,0,0,0,0
245101902001,44,16,16,7,52,0,0,27,12,27,63,36,16,45,34,16
245101902002,45,18,76,33,10,7,13,21,0,29,24,7,4,0,10,0
245101903001,30,3,38,16,0,0,0,0,0,23,0,5,8,5,0,16
245101903002,132,76,11,10,17,15,12,13,0,14,6,6,0,0,0,0
245101903003,6,23,23,4,11,0,25,0,0,0,34,0,15,0,0,17
245101903004,32,20,68,26,0,0,12,18,6,0,5,10,0,0,0,0
245102001001,15,31,38,32,4,44,0,0,0,22,19,0,30,0,24,6
245102001002,14,40,14,15,25,15,37,4,0,47,18,9,0,0,0,0
245102002001,32,12,20,0,7,0,4,12,25,17,22,21,0,0,0,0
245102002002,5,22,25,15,0,19,0,0,4,0,11,12,0,0,0,0
245102002003,8,32,8,36,17,35,0,33,0,0,0,0,0,0,0,0
245102002004,31,9,32,3,21,9,0,0,0,0,14,0,0,13,0,0
245102002005,34,0,56,7,58,15,0,7,0,10,15,25,11,0,0,0
245102003001,16,5,34,68,23,10,11,0,0,0,26,0,3,0,0,0
245102003002,94,46,15,44,26,11,14,11,19,11,0,0,6,13,0,0
245102004001,63,36,13,13,0,14,9,29,0,10,0,0,0,0,4,0
245102004002,123,59,18,7,7,42,2,0,28,51,71,26,27,0,0,0
245102005001,39,28,0,11,48,9,0,0,0,0,0,0,0,0,0,0
245102005002,25,22,23,30,0,0,37,11,0,21,0,45,0,0,0,0
245102005003,17,19,34,15,6,63,0,0,6,22,7,0,0,0,0,0
245102005004,16,39,33,0,0,6,74,11,44,9,8,4,6,0,0,0
245102005005,103,70,4,0,0,0,0,0,20,12,0,0,0,31,0,0
245102006001,26,85,17,19,0,21,6,0,24,31,78,24,0,0,0,0
245102006002,57,0,22,0,11,10,8,37,22,0,26,31,41,0,19,0
245102006003,0,22,29,52,46,39,7,0,27,10,31,20,7,21,0,0
245102007011,19,10,0,0,20,0,24,12,29,11,19,14,0,9,0,0
245102007012,0,11,61,44,0,29,8,4,0,65,52,29,5,32,32,0
