fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E
220710023003,0,10,17,0,17,0,0,0,0,21,0,0,0,0,0,0
220710023004,0,25,32,2,0,5,12,0,0,0,8,0,3,0,0,0
220710023005,156,66,22,34,20,26,4,25,16,65,21,32,0,0,0,0
220710024011,59,28,34,18,6,33,18,35,20,33,29,18,26,7,0,11
220710024012,18,21,31,12,26,35,0,0,43,16,32,98,0,0,0,0
220710024021,0,22,34,22,9,21,0,0,24,0,52,0,0,0,0,0
220710024022,20,59,0,36,16,0,38,47,23,11,22,0,0,3,0,0
220710024023,28,23,48,0,11,17,4,11,0,55,36,17,10,0,0,0
220710024024,34,77,15,43,33,0,19,25,27,15,62,34,0,0,49,0
220710025011,21,17,9,6,6,24,15,46,0,17,13,28,5,0,0,0
220710025012,6,0,32,5,5,16,15,0,0,0,40,7,36,0,0,2
220710025013,8,0,7,0,11,5,0,0,4,31,22,17,0,9,0,0
220710025014,5,6,52,12,0,51,0,0,5,7,6,11,3,0,0,0
220710025021,29,42,24,6,19,6,10,10,54,22,34,23,0,0,0,0
220710025022,52,6,15,7,10,7,16,0,12,4,0,18,0,0,0,0
220710025023,0,36,33,0,28,11,14,0,25,5,0,5,0,0,0,0
220710025024,19,0,17,24,0,10,11,10,0,12,14,10,0,0,0,0
220710025031,12,18,0,0,33,11,0,0,0,16,5,16,12,0,0,0
220710025032,5,0,6,82,3,3,10,7,11,74,22,26,11,46,0,14
220710025033,43,19,17,0,0,6,27,18,0,82,1,10,26,25,13,28
220710025041,12,25,15,14,10,11,7,50,11,11,15,0,30,5,14,0
220710025042,55,13,32,10,10,30,12,0,10,13,29,43,14,6,4,15
220710025043,12,0,0,7,0,7,13,0,0,12,49,63,9,11,5,14
220710025044,10,4,69,10,14,0,0,6,15,26,20,25,7,0,0,0
220710026001,41,18,0,48,13,10,11,10,0,25,106,31,35,22,31,12
220710026002,147,78,9,22,20,9,42,38,0,30,67,18,0,8,20,23
220710027001,59,38,28,8,0,0,0,13,8,24,9,5,0,0,0,0
220710027002,9,29,14,6,19,21,0,0,37,26,10,5,25,10,14,0
220710027003,32,20,48,35,0,40,11,0,0,0,5,0,0,7,0,0
220710028001,58,7,18,14,21,25,0,15,0,6,5,12,0,0,0,0
220710028002,87,13,61,21,23,28,0,62,10,14,0,0,0,0,0,0
220710028003,13,17,25,0,37,0,0,8,4,19,10,0,0,16,24,0
220710029001,23,17,42,0,0,18,0,0,6,25,7,38,0,0,0,0
220710029002,49,20,0,12,16,0,6,5,0,0,0,0,0,0,0,0
220710029003,21,0,66,33,16,27,0,32,28,24,26,0,0,0,0,0
220710030001,83,35,9,30,0,4,10,0,9,0,24,5,18,0,0,0
220710030002,85,31,64,20,32,17,0,25,15,6,5,0,0,0,0,0
220710031001,5,43,24,0,13,1,0,0,2,9,9,0,0,0,0,0
220710031002,52,12,68,3,35,9,0,4,11,4,22,47,0,9,8,0
220710033011,93,6,0,0,16,23,16,0,19,35,16,48,18,16,21,0
