fips,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E
360610060000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610060001,18,31,31,53,14,14,0,31,0,0,55,192,56,37,79,210
360610060002,0,17,28,30,0,15,12,0,14,41,79,77,101,58,117,242
360610060003,112,14,40,14,50,30,0,0,0,32,26,56,104,52,74,120
360610061001,31,37,36,0,0,12,7,0,0,51,138,47,124,71,50,142
360610061002,64,25,0,0,0,0,0,18,8,97,0,112,21,75,13,104
360610061003,93,0,29,0,15,10,13,75,0,30,82,26,153,113,85,198
360610062000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610062001,8,0,0,23,0,12,0,19,9,12,40,55,0,16,40,49
360610062002,192,42,10,36,19,29,27,8,11,21,76,88,183,61,155,106
360610063001,30,36,12,0,12,47,33,16,0,81,45,41,67,37,181,358
360610063002,0,20,15,0,26,11,13,0,12,44,55,118,113,110,98,202
360610063003,60,25,42,19,14,0,49,16,11,0,83,68,55,12,80,231
360610063004,8,0,24,0,61,31,0,37,14,0,40,33,68,41,84,72
360610063005,25,26,0,0,14,26,15,0,40,0,13,67,86,0,80,100
360610064001,68,21,0,23,26,0,0,12,56,0,106,25,124,70,103,244
360610064002,25,5,15,24,0,55,25,0,11,59,78,181,66,46,72,161
360610064003,66,0,0,0,0,0,0,14,9,59,52,58,46,69,88,96
360610064004,55,13,0,0,24,43,10,56,41,63,96,64,82,55,32,55
360610064005,60,13,0,0,0,25,0,15,23,87,53,194,48,24,170,237
360610064006,122,0,84,13,12,50,0,13,0,76,22,25,0,98,26,27
360610065001,60,0,21,14,0,0,0,19,0,0,29,46,14,29,48,135
360610065002,59,43,90,36,31,12,0,37,14,31,111,95,49,15,0,13
360610065003,0,24,15,15,0,31,0,32,30,0,77,89,52,46,127,123
360610065004,58,24,15,18,20,13,0,0,16,67,40,46,58,28,57,171
360610065005,37,0,42,33,0,46,40,0,0,40,72,89,83,102,47,86
360610066001,35,48,0,14,0,0,19,2,0,18,130,135,190,71,0,155
360610066002,82,57,80,12,0,6,0,115,0,32,24,0,44,18,0,37
360610066003,23,19,19,0,0,0,0,0,0,21,0,89,102,43,0,194
360610066004,0,22,0,0,0,95,9,44,0,24,167,209,114,60,45,77
360610066005,0,0,0,46,0,0,71,41,98,71,45,79,40,155,0,112
360610066006,45,0,0,0,0,0,37,0,61,17,46,55,10,127,57,150
360610066007,107,258,10,21,0,0,0,63,0,0,0,36,0,28,0,0
360610066008,15,66,0,47,0,22,0,142,10,0,17,0,23,33,177,99
360610066009,0,136,15,22,41,91,0,0,40,0,13,57,0,179,14,55
360610067001,31,14,14,53,16,25,32,41,18,93,93,69,41,23,55,109
360610067002,16,37,32,34,9,15,19,0,29,145,17,24,55,14,254,175
360610067003,0,46,0,0,30,0,0,37,35,44,27,119,84,92,54,128
360610067004,25,16,46,16,0,0,68,0,46,81,117,79,50,10,140,234
360610068001,74,0,0,23,63,0,39,0,0,47,86,0,149,38,57,146
360610068002,0,83,0,0,0,17,0,0,0,77,0,0,75,44,37,77
360610068003,14,0,48,22,34,24,63,0,0,33,25,60,0,31,67,279
360610068004,200,81,51,40,0,0,0,0,0,20,25,18,0,68,25,70
360610068005,57,0,47,15,0,0,0,0,0,23,25,43,97,71,149,100
360610068006,0,17,0,41,0,37,0,39,0,37,41,227,45,144,161,100
360610069000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610069001,26,24,10,17,0,0,9,37,46,24,52,193,110,31,175,467
360610070001,86,52,22,14,29,0,12,29,46,181,68,140,155,71,70,366
360610070002,45,12,0,0,0,0,0,44,0,63,39,17,69,39,58,99
360610070003,70,0,29,31,12,127,0,0,72,192,30,63,127,26,17,152
360610070004,0,17,0,31,48,38,59,0,0,19,0,30,241,33,0,51
360610070005,0,19,0,0,0,20,0,32,19,0,27,124,0,55,74,225
360610070006,26,0,50,91,17,0,0,79,0,48,97,83,116,52,87,135
360610071001,9,12,36,30,0,38,0,13,12,0,28,107,0,18,193,97
360610071002,40,14,0,40,13,0,0,17,0,46,55,27,56,96,77,335
360610071003,19,13,26,70,15,0,0,0,16,15,0,29,0,13,24,89
360610071004,47,12,16,20,13,68,15,0,20,75,77,15,91,48,149,283
360610071005,25,9,0,0,54,16,12,29,58,13,58,12,48,88,99,61
360610072001,0,21,0,0,10,0,21,37,0,0,8,82,29,27,34,177
360610072002,52,0,0,21,0,23,0,0,0,42,17,150,31,164,74,44
360610072003,27,0,0,0,55,28,0,0,0,17,42,82,37,69,20,124
360610072004,45,40,21,101,12,0,0,39,0,27,86,128,226,63,72,116
360610072005,22,0,0,0,24,0,0,32,31,42,41,80,67,36,184,190
360610072006,16,0,0,0,11,14,0,0,0,43,10,0,19,18,64,47
360610072007,0,0,39,19,0,15,13,0,0,64,67,121,78,26,32,36
360610073001,19,0,12,0,20,0,0,87,0,0,31,68,26,45,29,119
360610073002,13,9,14,0,0,14,0,0,11,0,66,33,33,0,101,100
360610073003,0,32,0,14,36,40,25,40,25,34,72,196,128,73,72,266
360610073004,92,0,11,0,30,0,0,91,0,54,35,39,58,44,123,139
360610073005,24,28,0,0,0,12,0,0,0,24,0,19,118,12,118,112
360610073006,24,36,13,69,0,0,0,0,14,18,25,103,34,26,53,226
360610074001,0,15,0,0,0,0,0,43,15,0,14,51,120,39,37,325
360610074002,0,46,0,0,45,9,46,32,14,0,49,57,69,65,14,79
360610074003,43,63,0,23,0,14,0,0,0,26,0,17,115,65,140,418
360610075000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610075001,0,37,42,0,100,45,0,12,0,34,52,163,52,113,119,314
360610075002,46,17,16,0,0,0,19,0,70,117,100,136,73,38,46,211
360610075003,34,0,49,0,25,22,0,0,0,12,22,75,68,14,59,141
360610076001,99,19,48,18,17,7,29,50,38,21,32,69,62,71,107,131
360610076002,34,26,23,0,12,0,0,18,10,8,6,22,25,17,19,122
360610077001,47,46,0,46,16,0,27,17,0,64,71,162,150,48,66,89
360610077002,23,33,15,42,16,10,15,52,10,32,78,68,32,15,52,199
360610077003,46,26,33,0,55,15,0,0,53,28,77,147,15,183,25,261
360610077004,10,0,0,14,37,0,54,16,15,26,25,18,92,124,31,185
360610077005,61,0,0,0,16,0,26,0,0,16,36,0,15,13,63,83
360610078001,66,0,11,0,0,0,0,0,39,11,23,48,40,45,29,164
360610078002,29,11,0,27,0,0,0,10,0,96,88,63,15,52,83,185
360610078003,11,24,0,12,0,0,37,37,0,11,0,52,23,26,216,36
360610078004,23,41,33,8,0,8,0,0,0,30,96,114,79,131,96,187
360610078005,0,11,0,0,0,7,0,0,27,31,55,11,78,44,0,53
360610078006,83,14,0,34,0,27,46,0,0,19,82,76,105,165,61,271
360610078007,34,0,27,31,0,0,11,8,0,36,42,61,23,58,99,98
360610079000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610079001,31,0,0,0,0,0,0,12,0,0,73,0,7,29,27,462
360610079002,17,74,68,41,0,36,0,15,0,84,0,202,16,0,43,101
360610079003,15,31,31,25,0,45,49,15,0,23,37,14,81,44,25,275
360610079004,13,0,0,20,0,11,14,0,30,42,93,0,48,42,58,219
360610080001,90,0,0,31,27,13,0,40,28,0,45,30,0,49,80,47
360610080002,61,17,75,14,0,15,23,71,0,16,27,110,61,35,71,189
360610080003,26,52,30,16,0,19,12,0,28,0,33,0,19,32,32,60
360610080004,0,27,0,8,17,0,0,0,13,26,46,57,83,87,107,246
360610080005,0,43,14,0,54,0,19,0,31,76,0,84,62,32,83,200
360610081001,0,34,23,37,11,0,0,25,17,70,71,58,73,21,89,331
360610081002,69,36,11,25,0,0,84,75,0,17,18,96,13,119,33,328
360610081003,52,0,0,35,26,82,0,0,0,32,12,0,220,0,66,97
360610081004,4,0,30,0,0,11,0,0,0,0,41,116,51,33,155,345
360610081005,61,32,55,0,11,26,45,55,0,63,87,186,143,58,106,60
360610081006,0,22,16,0,65,7,0,37,9,48,22,100,188,15,41,88
360610082001,27,33,0,0,19,72,78,35,0,18,14,70,0,56,191,183
360610082002,42,23,0,24,14,13,16,42,0,39,18,53,12,0,95,214
360610082003,27,13,0,44,16,25,0,0,24,44,15,121,53,0,70,65
360610083001,15,45,0,30,16,0,14,25,0,0,21,64,76,27,75,129
360610083002,41,0,9,0,0,52,14,0,25,57,74,18,39,0,90,153
360610083003,145,135,43,84,45,70,0,72,30,20,53,24,0,21,13,109
360610084001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610084002,71,4,7,25,8,32,26,23,25,13,66,25,117,83,121,245
360610086010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610086011,0,36,7,0,0,7,11,22,8,35,0,98,51,24,83,245
360610086012,0,0,0,0,0,0,21,0,27,0,23,97,73,96,79,189
360610086020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610086021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610086030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360610086031,27,47,14,15,0,0,0,14,59,13,15,120,50,21,72,268
360610086032,14,0,0,0,0,13,0,13,0,0,14,41,14,14,89,243
360610086033,29,0,13,27,29,0,15,0,0,0,13,15,30,55,0,173
360610086034,37,0,20,76,13,25,31,27,0,39,13,92,67,78,40,332
360610087001,32,43,0,31,98,25,26,20,0,16,74,26,133,49,117,589
360610087002,29,0,18,36,18,27,0,56,27,89,11,58,161,0,20,184
360610087003,0,0,38,0,0,21,0,13,17,0,68,40,40,96,68,170
360610087004,0,0,28,0,0,71,0,17,17,100,52,91,97,43,15,226
360610087005,14,11,0,23,45,15,44,13,0,0,36,158,98,53,0,42
360610088001,0,16,0,0,0,12,11,18,13,46,162,123,77,14,10,94
360610088002,28,23,10,0,10,24,13,0,68,0,41,122,34,177,101,109
360610088003,54,18,0,25,0,25,70,60,0,24,128,84,16,53,7,140
360610088004,8,0,0,31,22,11,31,0,0,31,0,121,122,0,81,174
360610088005,0,0,0,0,0,0,0,28,0,0,132,93,99,26,13,164
360610088006,87,0,16,57,0,0,0,26,0,61,39,131,51,0,89,125
360610088007,52,0,26,0,10,0,0,27,0,17,99,72,63,53,0,93
360610089001,18,35,18,17,0,22,0,0,72,31,0,89,59,0,70,53
360610089002,39,50,15,31,0,0,0,44,14,35,78,67,52,33,107,194
360610089003,75,19,19,29,0,20,20,48,11,41,83,69,29,0,75,95
360610089004,33,0,0,17,0,38,0,0,17,88,17,53,0,31,52,155
360610089005,0,22,82,0,0,54,0,0,34,18,0,136,123,29,123,144
360610090001,23,27,12,23,25,32,0,12,13,44,33,121,131,30,50,146
360610090002,53,0,0,76,0,20,0,0,8,46,136,97,138,100,136,213
360610090003,42,0,0,0,22,0,24,0,0,50,27,55,55,57,13,199
360610090004,88,0,40,94,11,40,0,21,18,103,11,43,20,91,115,181
360610090005,11,45,0,0,13,36,19,0,0,0,34,31,20,24,28,131
360610090006,0,0,40,12,12,9,0,26,27,59,0,24,46,101,80,215
360610091001,82,19,55,18,0,0,9,29,73,14,41,130,162,55,247,607
360610091002,58,86,11,25,0,73,18,65,0,14,43,78,135,18,80,329
360610091003,110,70,21,28,44,21,42,16,27,12,0,60,55,29,52,92
360610091004,13,79,52,0,0,0,15,14,0,24,25,144,71,73,90,41
360610092001,76,12,6,11,24,11,14,0,26,55,49,202,93,154,88,328
360610093001,37,81,81,101,31,41,41,77,22,43,52,144,85,57,32,76
360610093002,0,37,39,0,23,21,23,0,21,0,56,22,88,26,26,157
360610093003,63,0,12,0,22,36,0,0,0,25,102,0,73,78,138,118
360610093004,29,13,13,0,0,0,26,19,0,62,12,107,36,32,36,438
360610093005,0,0,0,16,0,0,0,16,24,80,88,34,71,0,22,221
